Timestamp,Subsystem,Sensor_ID,Telemetry_Value,Unit,Status,Anomaly_Type,Error_Code,Source_IP,Destination_IP,Authentication_Status,Encryption_Level,Packet_Loss (%),CPU_Usage (%),Memory_Usage (MB),Anomaly_Label
2025-01-01 00:00:00,Comms,17,53.17805169201884,Amps,Critical,,,192.168.1.0,10.0.0.0,1,,2.9189968649671485,72.52695064869955,1875.0984228323405,0
2025-01-01 00:01:00,Navigation,9,43.70483451950916,Watts,Warning,,200.0,192.168.1.1,10.0.0.1,0,2.0,0.0,46.85157332453178,1331.6073994581602,0
2025-01-01 00:02:00,Power,33,51.948528212018466,Celsius,Critical,Data Corruption,,192.168.1.2,10.0.0.2,0,3.0,6.284981224581317,49.97464293025006,1912.8179398739223,0
2025-01-01 00:03:00,Comms,20,48.41325556289364,Watts,Critical,,,192.168.1.3,10.0.0.3,0,1.0,2.756091719975699,62.01876761423453,1661.4430270597331,0
2025-01-01 00:04:00,Comms,13,49.58378506707485,Amps,Critical,Sensor Malfunction,400.0,192.168.1.4,10.0.0.4,1,1.0,2.4725382652369543,52.723493494956585,1663.0393111684793,0
2025-01-01 00:05:00,Navigation,28,55.560566478288564,Amps,Warning,Sensor Malfunction,100.0,192.168.1.5,10.0.0.5,1,1.0,0.0,64.10346643819436,2716.917244580078,0
2025-01-01 00:06:00,Power,48,44.58100875611452,Watts,OK,,400.0,192.168.1.6,10.0.0.6,0,,0.8498734604299725,5.39359150453943,2475.77868886525,0
2025-01-01 00:07:00,Power,29,56.38891045936773,Amps,Critical,Sensor Malfunction,,192.168.1.7,10.0.0.7,1,4.0,6.8505054700632675,87.61607037586631,1153.2504545824636,0
2025-01-01 00:08:00,Comms,13,,Celsius,Critical,Sensor Malfunction,400.0,192.168.1.8,10.0.0.8,0,3.0,0.0,51.220571671126415,1457.56061186183,0
2025-01-01 00:09:00,Thermal,46,53.431090829517586,Watts,Warning,Power Failure,200.0,192.168.1.9,10.0.0.9,1,3.0,1.8372488845614292,17.5506933821488,1818.2189777237159,0
2025-01-01 00:10:00,Comms,35,42.179043147275316,Amps,Critical,,300.0,192.168.1.10,10.0.0.10,0,2.0,0.0,31.724132968329574,1679.6838849320188,0
2025-01-01 00:11:00,Comms,6,43.849819886602035,Watts,OK,,400.0,192.168.1.11,10.0.0.11,0,1.0,0.0,7.413458976615544,2158.7091367518956,0
2025-01-01 00:12:00,Comms,18,47.51737099214884,Celsius,Warning,,300.0,192.168.1.12,10.0.0.12,1,2.0,1.5757047750532371,28.195298396284983,1378.2074610963991,0
2025-01-01 00:13:00,Comms,5,44.051097029304344,Amps,OK,,100.0,192.168.1.13,10.0.0.13,1,2.0,2.869005824386692,47.155031427204285,2479.2659806493075,0
2025-01-01 00:14:00,Navigation,47,40.0881969038995,Celsius,OK,Data Corruption,200.0,192.168.1.14,10.0.0.14,1,3.0,11.969314696162975,80.29429224988806,1977.997227529087,0
2025-01-01 00:15:00,Power,25,51.54407276961692,Amps,Warning,,,192.168.1.15,10.0.0.15,1,3.0,0.0,58.21349170839601,1829.7439776444116,0
2025-01-01 00:16:00,Navigation,2,47.78802668274201,Volts,Critical,,,192.168.1.16,10.0.0.16,1,1.0,1.7491536618305876,54.65721223929151,1992.8402786421134,0
2025-01-01 00:17:00,Navigation,10,51.89720883558058,Amps,OK,Power Failure,100.0,192.168.1.17,10.0.0.17,1,1.0,0.0,27.297909575685765,1791.2459632424843,0
2025-01-01 00:18:00,Navigation,30,61.86387412215288,Watts,OK,,,192.168.1.18,10.0.0.18,0,1.0,5.06120007453457,33.51029388692977,984.6787146369483,0
2025-01-01 00:19:00,Comms,45,47.636471660756406,Amps,OK,,200.0,192.168.1.19,10.0.0.19,1,2.0,3.990473896766403,35.0614461325561,2005.962990385738,0
2025-01-01 00:20:00,Thermal,5,38.145799953196885,Celsius,OK,Power Failure,400.0,192.168.1.20,10.0.0.20,0,,9.441973388457141,35.877427756277896,1839.626805682721,0
2025-01-01 00:21:00,Power,33,46.01107507746449,Celsius,Warning,Sensor Malfunction,400.0,192.168.1.21,10.0.0.21,0,3.0,7.558110757543544,42.969262475027904,1522.7714936736236,0
2025-01-01 00:22:00,Thermal,1,57.704252171166424,Amps,Warning,Sensor Malfunction,,192.168.1.22,10.0.0.22,1,4.0,3.7570333442114148,44.47977876567038,2548.7149157082904,0
2025-01-01 00:23:00,Navigation,18,56.76770270716955,Watts,OK,Sensor Malfunction,,192.168.1.23,10.0.0.23,0,2.0,0.0,43.21843252746304,2334.7190066966136,0
2025-01-01 00:24:00,Navigation,32,55.18639647613567,Volts,Critical,,200.0,192.168.1.24,10.0.0.24,0,2.0,3.023342189450302,36.573515394630356,3219.4283532896256,0
2025-01-01 00:25:00,Thermal,47,43.75293276837897,Watts,OK,,,192.168.1.25,10.0.0.25,1,1.0,1.444932689341195,52.70106331624453,2417.414250596227,0
2025-01-01 00:26:00,Thermal,49,57.51902618032698,Volts,Critical,,100.0,192.168.1.26,10.0.0.26,1,4.0,6.766987666189898,43.7117043326645,1678.2824664848617,0
2025-01-01 00:27:00,Thermal,11,59.76899078037066,Celsius,OK,,400.0,192.168.1.27,10.0.0.27,1,3.0,6.131157449812341,18.08865507555545,1547.1053106991064,1
2025-01-01 00:28:00,Navigation,21,43.04578370110024,Watts,Critical,Data Corruption,400.0,192.168.1.28,10.0.0.28,0,1.0,0.5179227817262235,50.6876364451587,1752.8471993568226,0
2025-01-01 00:29:00,Navigation,26,49.584299024574754,Volts,OK,,400.0,192.168.1.29,10.0.0.29,1,3.0,0.0,47.66472004436847,1666.6856921606775,0
2025-01-01 00:30:00,Power,25,70.20401963682112,Amps,Critical,,200.0,192.168.1.30,10.0.0.30,1,2.0,8.666936501102123,18.407450948896482,2054.391681926983,0
2025-01-01 00:31:00,Power,22,42.60125723536613,Celsius,OK,,,192.168.1.31,10.0.0.31,1,3.0,4.909369784116025,38.17397106606924,1230.6013114205002,0
2025-01-01 00:32:00,Navigation,27,32.949133307562754,Amps,OK,,100.0,192.168.1.32,10.0.0.32,1,,0.402549647136655,61.94145122022717,2323.6432820230157,0
2025-01-01 00:33:00,Thermal,49,63.82904434464798,Celsius,Critical,,100.0,192.168.1.33,10.0.0.33,0,3.0,4.714366740518354,27.27100122678591,2045.598184685714,0
2025-01-01 00:34:00,Thermal,13,61.3660477170456,Watts,Warning,,400.0,192.168.1.34,10.0.0.34,1,3.0,2.3743065312501455,25.15641860543013,2266.232153894348,0
2025-01-01 00:35:00,Power,33,45.430326764225754,Watts,Critical,,300.0,192.168.1.35,10.0.0.35,0,1.0,8.593089631097369,43.50232756016523,1427.9267614862385,0
2025-01-01 00:36:00,Navigation,34,48.870082181319134,Celsius,Warning,Data Corruption,,192.168.1.36,10.0.0.36,1,1.0,0.0,62.45864539623928,2123.344385168028,0
2025-01-01 00:37:00,Power,41,37.75064949811048,Celsius,OK,Power Failure,200.0,192.168.1.37,10.0.0.37,0,1.0,0.01404516743283768,86.20655181445392,2649.588290434818,0
